,property_name,location,price,price_per_sqft,super_built_up_area,carpet_area,builtup_area,facing,ownership,bedrooms,bathrooms,balcony,floor,furnish_type,rating,prop_type,city,luxury_score,Study Room,Servant Room,Store Room,Pooja Room,Others,ageing,location_area
2326,Triton,Santacruz,467500000,78177,,5980,,East,Freehold,6,8,3,19,Unfurnished,4.3,Flat,Mumbai,104,0,0,0,0,1,New,Santacruz
2155,Aurum Seven,Walkeshwar,460000000,123159,,,,,,,,,,,4.3,Flat,Mumbai,23,0,0,0,0,0,,Girgaon
5757,"Walkeshwar, Malabar Hill, Mumbai, Mumbai South",Walkeshwar,450000000,141755,,,,,Freehold,5,6,2,0,Unfurnished,4.2,House,Mumbai,122,1,1,0,1,0,Old,Girgaon
6132,Lodha Seamont,Malabar Hill,450000000,195652,,2300,,North-East,Co-operative Society,4,4,3,0,Furnished,4.3,House,Mumbai,102,1,1,0,1,1,New,Girgaon
8714,"Sion West, Mumbai, Central Mumbai",Sion,440000000,40072,,,,,Freehold,,,,0,,4.1,,Mumbai,0,0,0,0,0,0,Old,Sion
6054,"Santacruz East, Mumbai, Western Mumbai",Santacruz,420000000,66666,,5000,,East,Freehold,3,3,0,0,Furnished,4.2,House,Mumbai,12,0,0,0,0,0,Relatively New,Santacruz
6213,Jvpd Scheme,Juhu,420000000,118326,,,,West,Co-operative Society,3,3,0,0,Furnished,4.4,House,Mumbai,164,0,0,0,0,0,Relatively Old,Juhu
9776,Parishram by Rustomjee,Bandra,415800000,152587,,2725,,West,Freehold,4,4,1,13,Semifurnished,4.4,Flat,Mumbai,180,0,0,1,0,0,Relatively New,Bandra
5705,callforname,Peddar Road,410000000,91111,,,,East,Freehold,4,4,2,0,Semifurnished,3.8,House,Mumbai,90,1,1,0,1,1,Old,Cumbala Hill
5849,"Peddar Road, Mumbai, Mumbai South",Peddar Road,400000000,80000,,,5000,,Freehold,6,6,0,0,Semifurnished,3.8,House,Mumbai,0,0,0,0,0,0,Undefined,Cumbala Hill
6010,Lodha M,Worli,400000000,62666,,,,East,Freehold,4,3,2,0,Furnished,4.3,House,Mumbai,186,1,1,1,1,0,New,Worli
6194,Perry Cross Road,Bandra,400000000,107614,,,,,Freehold,3,3,0,0,Unfurnished,4.4,House,Mumbai,102,0,0,0,0,0,Old,Bandra
1344,Rustomjee Elements,Andheri,380000000,127470,,,,,Freehold,5,4,3,13,Furnished,4.3,Flat,Mumbai,136,1,0,0,1,0,Relatively New,Andheri
5795,Military Road,Juhu,360000000,58064,,6200,,West,Co-operative Society,6,6,0,0,Furnished,4.4,House,Mumbai,164,0,0,0,0,0,Relatively Old,Juhu
7815,Emgee Vikas Park,Juhu,360000000,12000,30000,,,East,Freehold,5,6,3,40,Unfurnished,4.4,Flat,Mumbai,286,0,0,0,1,0,New,Juhu
4675,Turner Heights,Bandra,350000000,46598,,7511,,North,Freehold,1,9,3,11,Unfurnished,4.4,Flat,Mumbai,104,1,1,0,1,1,Relatively New,Bandra
5714,"Bhawani Sankar, Dadar, Mumbai South",Bhawani Sankar,350000000,55555,,,,,Power of Attorney,9,4,3,0,,,House,Mumbai,12,0,0,0,0,0,Relatively Old,Dadar
6011,"Walkeshwar, Malabar Hill, Mumbai, Mumbai South",Walkeshwar,350000000,140000,,4500,5000,,Freehold,9,9,0,0,Unfurnished,4.2,House,Mumbai,0,1,1,1,1,0,Old,Girgaon
6221,Private Bunglow,Juhu,350000000,106642,,4000,,,Freehold,4,5,3,0,Unfurnished,4.4,House,Mumbai,44,1,1,0,1,1,Old,Juhu
2757,Indiabulls Blu,Worli,330000000,100000,,3300,,South,Freehold,5,6,0,35,Unfurnished,4,Flat,Mumbai,326,0,1,0,0,0,Relatively New,Worli
6425,"Band Stand, Bandra West, Western Mumbai",Band Stand,319900000,53316,,,,West,Leasehold,6,5,1,0,Unfurnished,4.1,House,Mumbai,58,0,0,0,0,1,Old,Bandra
2138,Signia Isles,Bandra Kurla Complex,300000000,74645,,4019,,East,Freehold,5,5,3,1,Unfurnished,4,Flat,Mumbai,76,1,1,0,1,1,Relatively New,Bandra
2893,Oberoi Sky Heights,Lokhandwala Andheri,300000000,75000,,4000,,North,Freehold,5,7,3,31,Semifurnished,4.5,Flat,Mumbai,218,0,1,0,0,0,Relatively Old,Andheri
3330,Mayfair Liv,Santacruz,300000000,75000,,4000,,West,Freehold,5,6,1,14,Semifurnished,4.3,Flat,Mumbai,238,1,1,1,1,0,New,Santacruz
6088,"Ayodhya Nagari, Dombivli East, Thane Outskirts",Ayodhya Nagari,300000000,10000,,,,,Freehold,5,5,0,0,,,House,Thane,0,0,0,0,0,0,Relatively Old,Kalyan-Dombivli
8542,Lodha World View,Upper Worli,290000000,74358,3900,,,West,Co-operative Society,7,7,0,38,Unfurnished,3.9,Flat,Mumbai,250,1,1,1,1,0,New,Worli
2781,"Birla Niyaara phase 1 Tower A, Worli",Worli,288500000,116565,,2475,,East,Freehold,5,5,0,0,Unfurnished,4.3,Flat,Mumbai,170,0,0,0,0,0,Under Construction,Worli
2139,Signia Pearl,Bandra Kurla Complex,280000000,73684,,3800,,North-East,Freehold,4,4,3,8,Semifurnished,4.2,Flat,Mumbai,120,0,1,0,0,1,New,Bandra
6023,Stellar Tower,Lokhandwala Andheri,280000000,43750,,,,West,Freehold,6,5,3,0,Furnished,4.5,House,Mumbai,238,1,1,1,1,0,Old,Andheri
5749,Lodha World Towers,Worli,273200000,72000,,,,,,,,,,,4.3,House,Mumbai,72,0,0,0,0,0,,Worli
5832,Lodha World Towers,Worli,273200000,72000,,,,,,,,,,,4.3,House,Mumbai,72,0,0,0,0,0,,Worli
5982,Lodha World Towers,Worli,272700000,71852,,,,,,,,,,,4.3,House,Mumbai,72,0,0,0,0,0,,Worli
1495,Prithvi Apartments,Tardeo,270000000,120428,,2242,,,Co-operative Society,4,4,3,23,,4.3,Flat,Mumbai,114,0,1,0,0,0,Old,Byculla
1768,Complex On Request.,Ghatkopar,260000000,52000,,5000,,East,Freehold,5,5,3,4,Furnished,4.4,Flat,Mumbai,104,0,0,0,0,0,Relatively New,Ghatkopar
2308,Complex On Request.,Ghatkopar,260000000,52000,,5000,,East,Freehold,5,5,3,4,Furnished,4.4,Flat,Mumbai,104,0,0,0,0,0,Relatively New,Ghatkopar
5848,Magnum Tower CHS,Lokhandwala Andheri,250000000,92593,,5000,6000,East,Co-operative Society,4,4,2,0,Furnished,4.5,House,Mumbai,86,1,1,0,1,0,Relatively Old,Andheri
5893,"Khar West, Mumbai, Western Mumbai",Khar,250000000,131579,,,1900,,Freehold,4,4,0,0,Unfurnished,4.4,House,Mumbai,0,0,0,0,0,0,New,Khar
6003,magnum tower,Andheri,250000000,35714,,6000,,East,Freehold,6,8,1,0,Furnished,4.3,House,Mumbai,26,1,0,0,1,0,Relatively Old,Andheri
6007,Magnum Tower CHS,Lokhandwala Andheri,250000000,83333,,6000,,North,Freehold,6,5,3,0,Semifurnished,4.5,House,Mumbai,102,1,1,0,1,1,Old,Andheri
6467,"Band Stand, Bandra West, Western Mumbai",Band Stand,250000000,35714,,,7000,,Freehold,4,5,3,0,Unfurnished,4.1,House,Mumbai,112,1,1,0,1,1,Old,Bandra
8032,Suraj Ocean Star,Dadar,250000000,95419,,2620,,West,Freehold,6,6,3,22,Unfurnished,4.3,Flat,Mumbai,134,0,0,0,0,0,Under Construction,Dadar
